Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bersemangat,Pop,Tv girl,lover rock,2014,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM
Bersemangat,Rap,Eminem,Godzilla,2020,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
Bersemangat,Rock,the sigit,all the time,2006,https://open.spotify.com/track/60zomg1pGnaSrapCzO6aPG
Bersemangat,Pop,Sheila on7,Anugerah Terindah Yang Pernah Kumiliki,1999,https://open.spotify.com/track/41OCQS2Mul3MluLUUsfadr
Bersemangat,Pop,Efek Rumah Kaca,Balerina,2008,https://open.spotify.com/track/04Opv95YdaTL2OU4tooVyQ
Bersemangat,Kpop,BTS,Permission to Dance,2021,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry
Bersemangat,Metal,Bring Me The Horizon,Drown,2015,https://open.spotify.com/track/6o39Ln9118FKTMbM4BvcEy
Bersemangat,Reggae,Santana,Corazon Espinado,1999,https://open.spotify.com/track/2WoqgtWEBbbBKMDN6Becs7
Bersemangat,Pop,Coldplay,Up&Up,2015,https://open.spotify.com/track/31L9yLXSj6LpCFupyMV6CR
Bersemangat,Rock,Muse,Hysteria,2004,https://open.spotify.com/track/7xyYsOvq5Ec3P4fr6mM9fD
Bersemangat,Pop Punk,Neck Deep,Motion Sickness,2017,https://open.spotify.com/track/2JcQF1cSeyFx34F8ItVTRN
Bersemangat,Jazz,michael buble,Me and Mrs. Jones,2007,https://open.spotify.com/track/30cwzvmxhBPdlD1g9efF0k
Bersemangat,R&B,Loreen,Tattoo,2023,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6
Bersemangat,Pop,Taylor Swift,Style,2014,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
Bersemangat,Pop,Wali,Nenekku Pahlawanku,2011,https://open.spotify.com/track/2ALQHMFnSjKzRhGwXVSfHD
Bersemangat,rock,morfem,roman underground,2016,https://open.spotify.com/track/3JvNtXY86z1BlPVu5PdIcs
