Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Marah,70' punk,dongker,luka di pelupuk mata,2023,https://open.spotify.com/track/4z8VogikJGEwY3MSMAwBJg
Marah,Rock,Linkin Park,Bleed It Out,2007,https://open.spotify.com/track/0UFDKFqW2oGspYeYqo9wjA
Marah,70' punk,the jansen,hal yang wajar di umuran kita sekarang,2023,https://open.spotify.com/track/4hC3PIKiJE5QHg9wqW2kzV
Marah,Rock,Linkin Park,Numb,2003,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
Marah,70' punk,the jansen,i wanna be with you,2020,https://open.spotify.com/track/4v010rUfO4WRs8W2ZndHOt
Marah,Rock,Linkin Park,In the End,2000,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
Marah,Pop Punk,green day,Welcome to Paradise,1994,https://open.spotify.com/track/5kr3j5Clb9rjEposoMyLVt
Marah,Pop,Naif,Benci untuk mencinta,2005,https://open.spotify.com/track/65PjFLm6X567f52At4CI1N
Marah,Pop,Lewis Capaldi,Someone You Loved,2019,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
Marah,Pop,Majiko,Kokoronashi,2015,https://open.spotify.com/track/1FXrYwvWwjmbw8cqFC1OWz
Marah,Rock,Seringai,Selamanya,2018,https://open.spotify.com/track/5Yu9yUEb2kq6CkB8jXTrfO
Marah,Pop Punk,Neck Deep,Wish You Were Here ,2017,https://open.spotify.com/track/4Ssi6tKwrTHi5qvDndrZRP
Marah,Pop,Hindia,Evakuasi,2019,https://open.spotify.com/track/1bcIiU5FWRa2IYBqx0bk67
Marah,Pop,Neck Deep,December,2015,https://open.spotify.com/track/4oVdhvxZrKQTM9ZsUIZa3S
Marah,Rock,Slipknot,Duality,2004,https://open.spotify.com/track/61mWefnWQOLf90gepjOCb3
Marah,Pop Punk,The Ramones,Blitzkrieg Pop,1976,https://open.spotify.com/track/48OhQk5Ud4iFgKBnlE7VFZ
Marah,Pop,Madison beer,Reckless,2021,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
Marah,Pop,Hindia,Evaluasi,2019,https://open.spotify.com/track/2dIBMHByUGcNPzmYBJ6OAj
Marah,Pop,Sarcastic Sounds,Disappointment,2022,https://open.spotify.com/track/6Xoe3jKnSFKSzsQ8kdDT7I
Marah,Rock,My Chemical Romance,Teenagers,2006,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
