Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Sedih,Pop,Budi doremi,Mesin waktu,2021,https://open.spotify.com/track/1MgEuKnMKzbODJ5Ez94I64
Sedih,psychedelic rock,Pink Floyd,the great gig in the sky,1973,https://open.spotify.com/track/2TjdnqlpwOjhijHCwHCP2d
Sedih,R&B,Yura yunita,Cinta dan rahasia,2014,https://open.spotify.com/track/4HXUMRdT6s6Am6YHcWmuib
Sedih,Pop,Misellia,Akhir Tak Bahagia,2021,https://open.spotify.com/track/0BYoWATcndOBcsCfKdTKRx
Sedih,Pop,Olivia Rodrigo,Happier,2021,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
Sedih,Pop,The Adams,Timur,2019,https://open.spotify.com/track/2bEuh25NMtUEQGu6VqohPu
Sedih,Indie,Nadin Amizah,Semua Aku Dirayakan,2023,https://open.spotify.com/track/2x3vwXWuecPrRqgEUuSUJA
Sedih,Pop,Raisa,Tentang dirimu,2021,https://open.spotify.com/track/0dv4wdtExcFcXEsmi82eEL
Sedih,Pop Punk,For revenge,Serana,2020,https://open.spotify.com/track/0PtJbtW50jcvvswNPn3QGd
Sedih,Classical,Mr. Sonjaya,Langgam Suminem,2015,https://open.spotify.com/track/1bJa1bTpt9l9rYXc1DofoB
Sedih,psychedelic rock,Pink Floyd,Breathe (in the air),1973,https://open.spotify.com/track/2ctvdKmETyOzPb2GiJJT53
Sedih,R&B,Isyana,Tetap dalam jiwa,2015,https://open.spotify.com/track/1cKm6kQLMhc7N3mHS238fk
Sedih,Pop,Raissa Anggiani,Itu Aku,2023,https://open.spotify.com/track/5SicKKsUufuzKZASHO9eDE
Sedih,Pop,Tulus,Jatuh Suka,2022,https://open.spotify.com/track/6PqWdGIYq5xdLaa4zCZfRp
Sedih,Pop,Nadin Amizah,Mendarah,2020,https://open.spotify.com/track/75OokMC3JzPnRNXcLTAKdr
Sedih,Indie,Putri Ariani,Mimpi,2023,https://open.spotify.com/track/3X6e6zlWJiwpRD2HE2zkyy
Sedih,Pop,JKT48,River,2013,https://open.spotify.com/track/78emQpmZsROtMUSc8J6yJH
Sedih,Pop,Judika,Bagaimana kalau aku tidak baik-baik saja,2021,https://open.spotify.com/track/7As3vd7OvJwyGUsZfNtHce
Sedih,Pop Punk,Hindia,Rumah ke rumah,2019,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
Sedih,Classical,Panji Sakti,Fragmen Perahu,2022,https://open.spotify.com/track/1HgTy7Vgf3gcrhUTrYAUPA
Sedih,psychedelic rock,The Beatles,Lucy in the sky with diamonds,1967,https://open.spotify.com/track/25yQPHgC35WNnnOUqFhgVR
Sedih,R&B,Yura yunita,Dunia tipu-tipu,2021,https://open.spotify.com/track/0mMqopQJOWADJSPRMYkvTF
Sedih,Pop,Bernadya,Satu Bulan,2023,https://open.spotify.com/track/7zOVh5fGpEwSbZd0g9z80B
Sedih,Pop,Adele,Easy on Me,2021,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Sedih,Pop,Reality Club,Anything you want,2022,https://open.spotify.com/track/2QB8FwOszur18Ai7t2XnNi
Sedih,Indie,Idgitaf,Satu-Satu,2022,https://open.spotify.com/track/3d6BjQ0QOLTzuKoOQbeGgG
Sedih,Sad,Siti nurhaliza,Seluruh cinta,2014,https://open.spotify.com/track/3f4PvbnAEkGEfS3n0Xdlye
Sedih,Pop,Fabio,Rumah singgah,2023,https://open.spotify.com/track/6raMBnVBIvvUngMLyDdzyP
Sedih,Pop,kerispatih,tapi bukan aku,2007,https://open.spotify.com/track/0BrH4b7su9uLELM1h5Xlzw
Sedih,Indie,fiersa besari,waktu yang salah,2014,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
Sedih,Pop,ST12,Cinta tak harus memiliki,2011,https://open.spotify.com/track/0HkQl75epTEkkXVA0V05l3
Sedih,Pop,My Chemical Romance,Cancer,2006,https://open.spotify.com/track/0GgN4MhR5GKn5IcKN0e0rG
Sedih,Pop,Nosstress,Istirahat,2021,https://open.spotify.com/track/0Kf2BOFEcT4d6yKgVDV0xC
Sedih,Pop,Nadin Amizah,Mendarah,2020,https://open.spotify.com/track/75OokMC3JzPnRNXcLTAKdr
Sedih,Pop,Adele,Someone Like You,2011,https://open.spotify.com/track/3bNv3VuUOKgrf5hu3YcuRo
Sedih,Jazz,Frank Sinatra,Fly Me To The Moon,2018,https://open.spotify.com/track/4aZsaTnr6eitSWDfLxob6h
Sedih,Pop,Ateez,Mist,2019,https://open.spotify.com/track/52PCrf2tqml44bWLNT58hF
Sedih,Sad,Ed sheeran,Perfect,2017,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
